"year","canton","party","party_id","party_strength","seats_with","seats_without","seat_difference"
2015,"CH",,32,4.1,7,7,0
2015,"CH","CSP",8,0.2,0,0,0
2015,"CH",,2,11.6,27,23,4
2015,"CH","EDU",16,1.2,0,0,0
2015,"CH",,7,1.9,2,2,0
2015,"CH",,1,16.4,33,35,-2
2015,"CH",,31,4.6,7,5,2
2015,"CH",,13,7.1,11,10,1
2015,"CH",,18,1,2,2,0
2015,"CH","MCR",8,0.3,1,1,0
2015,"CH","PdA",9,0.4,1,1,0
2015,"CH","SD",16,0.1,0,0,0
2015,"CH","Sol.",9,0.5,0,0,0
2015,"CH",,3,18.8,43,43,0
2015,"CH",,4,29.4,65,70,-5
2015,"CH",,99,2.4,1,1,0
